ukb_code	uniprot_id	protein_name	gene_symbol	chr_hg19	start_bp_hg19	end_bp_hg19	olink_panel
1435	O15357	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	INPPL1	11	71934745	71950149	Oncology
1436	P51460	Insulin-like 3	INSL3	19	17927321	17932383	Neurology II
1437	Q14641	Early placenta insulin-like peptide	INSL4	9	5231419	5235304	Oncology II
1438	Q9Y5Q6	Insulin-like peptide INSL5	INSL5	1	67263424	67266939	Oncology II
1439	P06213	Insulin receptor	INSR	19	7112266	7294045	Inflammation II
1440	Q8WWN9	Interactor protein for cytohesin exchange factors 1	IPCEF1	6	154475631	154677926	Neurology
1441	Q13576	Ras GTPase-activating-like protein IQGAP2	IQGAP2	5	75699074	76003957	Oncology
1442	Q12912	Inositol 1,4,5-triphosphate receptor associated 2	IRAG2	12	25173936	25261268	Cardiometabolic
1443	P51617	Interleukin-1 receptor-associated kinase 1	IRAK1	X	153275951	153285431	Inflammation
1444	Q9NWZ3	Interleukin-1 receptor-associated kinase 4	IRAK4	12	44152747	44183346	Inflammation
1445	Q6UXK2	Immunoglobulin superfamily containing leucine-rich repeat protein 2	ISLR2	15	74392652	74430881	Neurology
1446	B1AKI9	Isthmin-1	ISM1	20	13202418	13281298	Inflammation
1447	Q6H9L7	Isthmin-2	ISM2	14	77940740	77965210	Cardiometabolic II
1448	P53990	IST1 homolog	IST1	16	71879899	71962913	Oncology II
1449	Q9UKX5	Integrin alpha-11	ITGA11	15	68594050	68724501	Inflammation
1450	P17301	Integrin alpha-2	ITGA2	5	52285156	52390609	Inflammation II
1451	P08648	Integrin alpha-5	ITGA5	12	54789045	54813244	Neurology
1452	P23229	Integrin alpha-6	ITGA6	2	173292082	173371181	Inflammation
1453	P20701	Integrin alpha-L	ITGAL	16	30483979	30534506	Inflammation II
1454	P11215	Integrin alpha-M	ITGAM	16	31271311	31344213	Neurology
1455	P06756	Integrin alpha-V	ITGAV	2	187454792	187545628	Oncology
1456	P20702	Integrin alpha-X	ITGAX	16	31366455	31394318	Oncology II
1457	P05556	Integrin beta-1	ITGB1	10	33189247	33294720	Cardiometabolic
1458	O14713	Integrin beta-1-binding protein 1	ITGB1BP1	2	9543604	9563676	Oncology
1459	Q9UKP3	Integrin beta-1-binding protein 2	ITGB1BP2	X	70521584	70525221	Cardiometabolic
1460	P05107	Integrin beta-2	ITGB2	21	46305868	46351904	Cardiometabolic
1461	P18084	Integrin beta-5	ITGB5	3	124480795	124620265	Oncology
1462	P18564	Integrin beta-6	ITGB6	2	160956177	161128399	Inflammation
1463	P26010	Integrin beta-7	ITGB7	12	53585102	53601091	Oncology
1464	O95965	Integrin beta-like protein 1	ITGBL1	13	102104966	102375456	Cardiometabolic II
1465	P19827	Inter-alpha-trypsin inhibitor heavy chain H1	ITIH1	3	52811603	52826078	Inflammation II
1466	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3	ITIH3	3	52828784	52843025	Cardiometabolic
1467	Q14624	Inter-alpha-trypsin inhibitor heavy chain H4	ITIH4	3	52846991	52865495	Inflammation II
1468	Q86UX2	Inter-alpha-trypsin inhibitor heavy chain H5	ITIH5	10	7601232	7708961	Oncology II
1469	O43736	Integral membrane protein 2A	ITM2A	X	78615881	78623164	Inflammation
1470	Q9BY32	Inosine triphosphate pyrophosphatase	ITPA	20	3189514	3204516	Cardiometabolic II
1471	Q14643	Inositol 1,4,5-trisphosphate receptor type 1	ITPR1	3	4535032	4889524	Cardiometabolic II
1472	Q8IWB1	Inositol 1,4,5-trisphosphate receptor-interacting protein	ITPRIP	10	106071894	106098162	Neurology II
1473	P26440	Isovaleryl-CoA dehydrogenase, mitochondrial	IVD	15	40697686	40728146	Neurology
1474	Q8IYV9	Izumo sperm-egg fusion protein 1	IZUMO1	19	49244109	49250166	Oncology II
1475	P57087	Junctional adhesion molecule B	JAM2	21	27011584	27089874	Neurology
1476	Q9BX67	Junctional adhesion molecule C	JAM3	11	133938820	134021896	Inflammation II
1477	P01591	Immunoglobulin J chain	JCHAIN	4	71521258	71547534	Inflammation
1478	Q15652	Probable JmjC domain-containing histone demethylation protein 2C	JMJD1C	10	64926981	65225722	Oncology II
1479	Q9H910	Jupiter microtubule associated homolog 2	JPT2	16	1728257	1752281	Oncology II
1480	P05412	Transcription factor AP-1	JUN	1	59246465	59249785	Inflammation
1481	Q96I82	Kazal-type serine protease inhibitor domain-containing protein 1	KAZALD1	10	102821598	102827888	Oncology
1482	Q674X7	Kazrin	KAZN	1	14925200	15444539	Oncology II
1483	Q03721	Potassium voltage-gated channel subfamily C member 4	KCNC4	1	110753965	110825722	Neurology II
1484	Q12809	Potassium voltage-gated channel subfamily H member 2	KCNH2	7	150642049	150675403	Neurology II
1485	Q6PIL6	Kv channel-interacting protein 4	KCNIP4	4	20730239	21950422	Neurology
1486	Q9NXV2	BTB/POZ domain-containing protein KCTD5	KCTD5	16	2732476	2759031	Neurology II
1487	Q9Y4C1	Lysine-specific demethylase 3A	KDM3A	2	86667770	86719839	Inflammation II
1488	P35968	Vascular endothelial growth factor receptor 2	KDR	4	55944644	55991756	Oncology
1489	P23276	Kell blood group glycoprotein	KEL	7	142638201	142659768	Neurology
1490	Q587J8	KH domain-containing protein 3	KHDC3L	6	74072400	74073894	Oncology II
1491	P50053	Ketohexokinase	KHK	2	27309615	27323640	Cardiometabolic II
1492	Q5VV43	Dyslexia-associated protein KIAA0319	KIAA0319	6	24544332	24646383	Neurology II
1493	Q9HCM3	UPF0606 protein KIAA1549	KIAA1549	7	138516126	138666064	Oncology II
1494	Q6ZVL6	UPF0606 protein KIAA1549L	KIAA1549L	11	33563618	33695648	Oncology II
1495	Q8IYS2	Uncharacterized protein KIAA2013	KIAA2013	1	11979648	11986485	Oncology II
1496	O43896	Kinesin-like protein KIF1C	KIF1C	17	4901243	4931696	Cardiometabolic II
1497	Q96Q89	Kinesin-like protein KIF20B	KIF20B	10	91461367	91534700	Neurology II
1498	Q14807	Kinesin-like protein KIF22	KIF22	16	29802040	29816706	Cardiometabolic II
1499	Q96EK5	KIF-binding protein	KIFBP	10	70748487	70776738	Oncology
1500	P43627	Killer cell immunoglobulin-like receptor 2DL2	KIR2DL2	19	NA	NA	Oncology II
1501	P43628	Killer cell immunoglobulin-like receptor 2DL3	KIR2DL3	19	55249980	55295776	Oncology
1502	P43632	Killer cell immunoglobulin-like receptor 2DS4	KIR2DS4	19	55344131	55360024	Oncology II
1503	P43629	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	19	55235969	55378448	Oncology
1504	P43630	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	19	55361898	55378662	Oncology II
1505	Q96J84	Kin of IRRE-like protein 1	KIRREL1	1	157963063	158070052	Neurology II
1506	Q6UWL6	Kin of IRRE-like protein 2	KIRREL2	19	36346763	36358011	Neurology
1507	P10721	Mast/stem cell growth factor receptor Kit	KIT	4	55524085	55606881	Cardiometabolic
1508	P21583	Kit ligand	KITLG	12	88886570	88974628	Cardiometabolic
1509	Q86Z14	Beta-klotho	KLB	4	39408473	39453156	Neurology
1510	O43474	Krueppel-like factor 4	KLF4	9	110247133	110252763	Neurology II
1511	O60662	Kelch-like protein 41	KLHL41	2	170366212	170382772	Neurology II
1512	P06870	Kallikrein-1	KLK1	19	51322404	51327043	Oncology
1513	O43240	Kallikrein-10	KLK10	19	51515995	51523431	Oncology
1514	Q9UBX7	Kallikrein-11	KLK11	19	51525472	51531295	Oncology
1515	Q9UKR0	Kallikrein-12	KLK12	19	51532348	51538486	Oncology
1516	Q9UKR3	Kallikrein-13	KLK13	19	51559463	51568371	Oncology
1517	Q9P0G3	Kallikrein-14	KLK14	19	51580752	51587502	Oncology
1518	Q9H2R5	Kallikrein-15	KLK15	19	51328545	51340469	Oncology II
1519	P07288	Prostate-specific antigen	KLK3	19	51358171	51364020	Cardiometabolic II
1520	Q9Y5K2	Kallikrein-4	KLK4	19	51409608	51413994	Oncology
1521	Q92876	Kallikrein-6	KLK6	19	51461887	51472929	Oncology
1522	P49862	Kallikrein-7	KLK7	19	51479729	51487355	Inflammation II
1523	O60259	Kallikrein-8	KLK8	19	51499263	51505967	Oncology
1524	P03952	Plasma kallikrein	KLKB1	4	187130133	187179625	Inflammation II
1525	Q12918	Killer cell lectin-like receptor subfamily B member 1	KLRB1	12	9747147	9760482	Inflammation
1526	P26715	NKG2-A/NKG2-B type II integral membrane protein	KLRC1	12	10594863	10607284	Neurology II
1527	Q13241	Natural killer cells antigen CD94	KLRD1	12	10378657	10469850	Inflammation
1528	Q9NZS2	Killer cell lectin-like receptor subfamily F member 1	KLRF1	12	9980077	9997606	Inflammation II
1529	P26718	NKG2-D type II integral membrane protein	KLRK1	12	10524952	10544473	Neurology II
1530	P02533	Keratin, type I cytoskeletal 14	KRT14	17	39738531	39743173	Neurology
1531	Q04695	Keratin, type I cytoskeletal 17	KRT17	17	39775689	39781094	Cardiometabolic II
1532	P05783	Keratin, type I cytoskeletal 18	KRT18	12	53342655	53346685	Oncology
1533	P08727	Keratin, type I cytoskeletal 19	KRT19	17	39679869	39684560	Inflammation
1534	P13647	Keratin, type II cytoskeletal 5	KRT5	12	52908359	52914471	Neurology
1535	P48668	Keratin, type II cytoskeletal 6C	KRT6C	12	52862300	52867569	Cardiometabolic II
1536	P05787	Keratin, type II cytoskeletal 8	KRT8	12	53290977	53343738	Neurology II
1537	Q16773	Kynurenine--oxoglutarate transaminase 1	KYAT1	9	131595221	131644773	Cardiometabolic
1538	Q16719	Kynureninase	KYNU	2	143635067	143799890	Inflammation
1539	P32004	Neural cell adhesion molecule L1	L1CAM	X	153126969	153174677	Oncology
1540	Q96EM0	Trans-3-hydroxy-L-proline dehydratase	L3HYPDH	14	59927081	59951148	Cardiometabolic II
1541	Q9GZZ8	Extracellular glycoprotein lacritin	LACRT	12	55024595	55028679	Oncology II
1542	Q53H82	Endoribonuclease LACTB2	LACTB2	8	71547553	71581409	Cardiometabolic
1543	P18627	Lymphocyte activation gene 3 protein	LAG3	12	6881678	6887621	Oncology
1544	Q6GTX8	Leukocyte-associated immunoglobulin-like receptor 1	LAIR1	19	54865362	54882165	Inflammation
1545	Q6ISS4	Leukocyte-associated immunoglobulin-like receptor 2	LAIR2	19	55009100	55021897	Neurology
1546	P25391	Laminin subunit alpha-1	LAMA1	18	6941743	7117813	Cardiometabolic II
1547	Q16363	Laminin subunit alpha-4	LAMA4	6	112429963	112576141	Inflammation
1548	P07942	Laminin subunit beta-1	LAMB1	7	107564244	107643700	Cardiometabolic II
1549	P11279	Lysosome-associated membrane glycoprotein 1	LAMP1	13	113951556	113977987	Cardiometabolic II
1550	P13473	Lysosome-associated membrane glycoprotein 2	LAMP2	X	119561682	119603220	Neurology
1551	Q9UQV4	Lysosome-associated membrane glycoprotein 3	LAMP3	3	182840001	182881627	Inflammation
1552	O43504	Ragulator complex protein LAMTOR5	LAMTOR5	1	110943871	110950564	Oncology II
1553	P28838	Cytosol aminopeptidase	LAP3	4	17578815	17609595	Inflammation
1554	Q6PKG0	La-related protein 1	LARP1	5	154092462	154197167	Oncology II
1555	O43561	Linker for activation of T-cells family member 1	LAT	16	28996147	29002104	Inflammation
1556	Q9GZY6	Linker for activation of T-cells family member 2	LAT2	7	73613982	73644161	Oncology
1557	O95835	Serine/threonine-protein kinase LATS1	LATS1	6	149979289	150039392	Inflammation II
1558	Q6UX15	Layilin	LAYN	11	111411005	111432264	Neurology
1559	P18428	Lipopolysaccharide-binding protein	LBP	20	36974759	37005665	Cardiometabolic
1560	Q14739	Delta(14)-sterol reductase LBR	LBR	1	225589204	225616627	Neurology
1561	P04180	Phosphatidylcholine-sterol acyltransferase	LCAT	16	67973653	67978034	Inflammation II
1562	Q6UWW0	Lipocalin-15	LCN15	9	139654086	139660707	Neurology II
1563	P80188	Neutrophil gelatinase-associated lipocalin	LCN2	9	130911350	130915734	Cardiometabolic
1564	P13796	Plastin-2	LCP1	13	46700055	46786006	Cardiometabolic II
1565	P01130	Low-density lipoprotein receptor	LDLR	19	11200038	11244492	Cardiometabolic
1566	Q5SW96	Low density lipoprotein receptor adapter protein 1	LDLRAP1	1	25870071	25895377	Neurology II
1567	O14960	Leukocyte cell-derived chemotaxin-2	LECT2	5	135257968	135290723	Cardiometabolic II
1568	O00292	Left-right determination factor 2	LEFTY2	1	226124298	226129189	Oncology
1569	Q6P5S2	Protein LEG1 homolog	LEG1	6	127840600	127912962	Inflammation II
1570	Q5T871	Late cornified envelope-like proline-rich protein 1	LELP1	1	153175919	153177596	Neurology II
1571	Q8WVC0	RNA polymerase-associated protein LEO1	LEO1	15	52230222	52264003	Neurology II
1572	P41159	Leptin	LEP	7	127881337	127897681	Cardiometabolic
1573	P48357	Leptin receptor	LEPR	1	65886248	66107242	Cardiometabolic
1574	O95202	Mitochondrial proton/calcium exchanger protein	LETM1	4	1813206	1857974	Neurology II
1575	P09382	Galectin-1	LGALS1	22	38071615	38075813	Cardiometabolic
1576	P17931	Galectin-3	LGALS3	14	55590828	55612126	Cardiometabolic
1577	Q08380	Galectin-3-binding protein	LGALS3BP	17	76967320	76976191	Inflammation II
1578	P56470	Galectin-4	LGALS4	19	39292311	39304004	Inflammation
1579	P47929	Galectin-7	LGALS7_LGALS7B	19	39261611	39282389	Oncology
1580	O00214	Galectin-8	LGALS8	1	236681300	236716281	Neurology
1581	O00182	Galectin-9	LGALS9	17	25956824	25976586	Inflammation
1582	Q99538	Legumain	LGMN	14	93170152	93215047	Inflammation
1583	P01229	Lutropin subunit beta	LHB	19	49519237	49520338	Oncology
1584	Q9H008	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP	10	126150403	126306457	Inflammation
1585	P15018	Leukemia inhibitory factor	LIF	22	30636436	30642840	Neurology
1586	P42702	Leukemia inhibitory factor receptor	LIFR	5	38475065	38608456	Inflammation
1587	Q8N149	Leukocyte immunoglobulin-like receptor subfamily A member 2	LILRA2	19	55084387	55099027	Neurology
1588	Q8N6C8	Leukocyte immunoglobulin-like receptor subfamily A member 3	LILRA3	19	54799854	54809952	Cardiometabolic II
1589	P59901	Leukocyte immunoglobulin-like receptor subfamily A member 4	LILRA4	19	54844456	54850421	Cardiometabolic II
1590	A6NI73	Leukocyte immunoglobulin-like receptor subfamily A member 5	LILRA5	19	54818353	54824409	Cardiometabolic
1591	Q6PI73	Leukocyte immunoglobulin-like receptor subfamily A member 6	LILRA6	19	54720737	54746649	Cardiometabolic II
1592	Q8NHL6	Leukocyte immunoglobulin-like receptor subfamily B member 1	LILRB1	19	55085346	55148979	Cardiometabolic
1593	Q8N423	Leukocyte immunoglobulin-like receptor subfamily B member 2	LILRB2	19	54777675	54785039	Cardiometabolic
1594	Q8NHJ6	Leukocyte immunoglobulin-like receptor subfamily B member 4	LILRB4	19	55155340	55181810	Inflammation
1595	O75023	Leukocyte immunoglobulin-like receptor subfamily B member 5	LILRB5	19	54754263	54761164	Cardiometabolic
1596	P07098	Gastric triacylglycerol lipase	LIPF	10	90424198	90438571	Cardiometabolic II
1597	P20700	Lamin-B1	LMNB1	5	126112315	126172712	Oncology II
1598	Q03252	Lamin-B2	LMNB2	19	2427636	2456994	Neurology II
1599	P29536	Leiomodin-1	LMOD1	1	201865580	201915715	Neurology II
1600	Q6P5Q4	Leiomodin-2	LMOD2	7	123295861	123304344	Neurology II
1601	P36776	Lon protease homolog, mitochondrial	LONP1	19	5691845	5720583	Cardiometabolic II
1602	P08519	Apolipoprotein(a)	LPA	6	160952515	161087407	Inflammation II
1603	Q7L5N7	Lysophosphatidylcholine acyltransferase 2	LPCAT2	16	55542910	55620582	Oncology
1604	P06858	Lipoprotein lipase	LPL	8	19759228	19824769	Cardiometabolic
1605	P22079	Lactoperoxidase	LPO	17	56295909	56345879	Neurology
1606	Q93052	Lipoma-preferred partner	LPP	3	187871072	188608460	Cardiometabolic II
1607	O75427	Leucine-rich repeat and calponin homology domain-containing protein 4	LRCH4	7	100169855	100183776	Cardiometabolic II
1608	Q9ULH4	Leucine-rich repeat and fibronectin type-III domain-containing protein 2	LRFN2	6	40359325	40555204	Neurology II
1609	P02750	Leucine-rich alpha-2-glycoprotein	LRG1	19	4536421	4540486	Inflammation II
1610	Q96JA1	Leucine-rich repeats and immunoglobulin-like domains protein 1	LRIG1	3	66429221	66551687	Oncology
1611	Q6UXM1	Leucine-rich repeats and immunoglobulin-like domains protein 3	LRIG3	12	59265931	59314303	Inflammation II
1612	Q07954	Prolow-density lipoprotein receptor-related protein 1	LRP1	12	57522276	57607134	Oncology
1613	Q86VZ4	Low-density lipoprotein receptor-related protein 11	LRP11	6	150139934	150186199	Cardiometabolic
1614	P98164	Low-density lipoprotein receptor-related protein 2	LRP2	2	169983619	170219195	Neurology II
1615	Q9P2M1	LRP2-binding protein	LRP2BP	4	186285032	186317053	Neurology II
1616	P30533	Alpha-2-macroglobulin receptor-associated protein	LRPAP1	4	3508103	3534286	Neurology
1617	Q8N386	Leucine-rich repeat-containing protein 25	LRRC25	19	18501954	18508427	Oncology
1618	A6NM11	Leucine-rich repeat-containing protein 37A2	LRRC37A2	17	44588877	44633016	Oncology II
1619	Q5VT99	Leucine-rich repeat-containing protein 38	LRRC38	1	13801445	13840543	Neurology II
1620	Q96AG4	Leucine-rich repeat-containing protein 59	LRRC59	17	48452420	48474914	Cardiometabolic II
1621	Q32MZ4	Leucine-rich repeat flightless-interacting protein 1	LRRFIP1	2	238536219	238722325	Oncology II
1622	Q6UXK5	Leucine-rich repeat neuronal protein 1	LRRN1	3	3841121	3889387	Inflammation
1623	Q9HBL6	Leucine-rich repeat and transmembrane domain-containing protein 1	LRTM1	3	54952264	55001115	Neurology II
1624	Q8N967	Leucine-rich repeat and transmembrane domain-containing protein 2	LRTM2	12	1929433	1945918	Neurology II
1625	O15116	U6 snRNA-associated Sm-like protein LSm1	LSM1	8	38020839	38034248	Oncology
1626	O95777	U6 snRNA-associated Sm-like protein LSm8	LSM8	7	117824086	117832878	Oncology II
1627	P33241	Lymphocyte-specific protein 1	LSP1	11	1874200	1913497	Inflammation
1628	P01374	Lymphotoxin-alpha	LTA	6	31539831	31542101	Inflammation
1629	P09960	Leukotriene A-4 hydrolase	LTA4H	12	96394606	96437298	Oncology
1630	Q06643	Lymphotoxin-beta	LTB	6	31548302	31550299	Oncology II
1631	Q14767	Latent-transforming growth factor beta-binding protein 2	LTBP2	14	74964873	75079306	Cardiometabolic
1632	Q9NS15	Latent-transforming growth factor beta-binding protein 3	LTBP3	11	65306276	65326401	Oncology
1633	P36941	Tumor necrosis factor receptor superfamily member 3	LTBR	12	6484211	6500733	Inflammation
1634	Q8WV07	Protein LTO1 homolog	LTO1	11	69467844	69490184	Inflammation
1635	Q86TE4	Leucine zipper protein 2	LUZP2	11	24518516	25104150	Oncology II
1636	Q9BS40	Latexin	LXN	3	158363611	158390482	Neurology
1637	Q14210	Lymphocyte antigen 6D	LY6D	8	143866296	143868008	Inflammation
1638	O60449	Lymphocyte antigen 75	LY75	2	160628362	160761260	Inflammation
1639	Q9HBG7	T-lymphocyte surface antigen Ly-9	LY9	1	160765864	160798051	Inflammation
1640	Q9Y6Y9	Lymphocyte antigen 96	LY96	8	74903587	74941322	Neurology
1641	Q9NX58	Cell growth-regulating nucleolar protein	LYAR	4	4269428	4291896	Oncology
1642	P07948	Tyrosine-protein kinase Lyn	LYN	8	56792372	56923940	Oncology
1643	Q8N2G4	Ly6/PLAUR domain-containing protein 1	LYPD1	2	133402426	133429152	Neurology
1644	O95274	Ly6/PLAUR domain-containing protein 3	LYPD3	19	43964939	43969812	Oncology
1645	Q6UX82	Ly6/PLAUR domain-containing protein 8	LYPD8	1	248902716	248903170	Oncology
1646	O95372	Acyl-protein thioesterase 2	LYPLA2	1	24117460	24122029	Neurology II
1647	Q7Z3D4	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSMD3	5	89811428	89825401	Neurology II
1648	Q9Y5Y7	Lymphatic vessel endothelial hyaluronic acid receptor 1	LYVE1	11	10578513	10633236	Inflammation II
1649	Q7Z4W2	Lysozyme-like protein 2	LYZL2	10	30900718	30918691	Oncology II
1650	Q9NQ48	Leucine zipper transcription factor-like protein 1	LZTFL1	3	45864808	45957534	Inflammation II
1651	P20645	Cation-dependent mannose-6-phosphate receptor	M6PR	12	9092959	9102551	Cardiometabolic II
1652	Q9Y6D9	Mitotic spindle assembly checkpoint protein MAD1	MAD1L1	7	1855429	2272878	Neurology
1653	Q7L5Y9	E3 ubiquitin-protein transferase MAEA	MAEA	4	1283639	1333935	Oncology
1654	P20916	Myelin-associated glycoprotein	MAG	19	35783028	35804707	Neurology II
1655	P43357	Melanoma-associated antigen 3	MAGEA3	X	151934652	151938240	Oncology II
1656	Q9Y5V3	Melanoma-associated antigen D1	MAGED1	X	51546103	51645453	Oncology
1657	Q7Z304	MAM domain-containing protein 2	MAMDC2	9	72658497	72841886	Cardiometabolic II
1658	Q6UXC1	Apical endosomal glycoprotein	MAMDC4	9	139745395	139755249	Oncology II
1659	O60476	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	MAN1A2	1	117910071	118071494	Cardiometabolic II
1660	Q9Y2E5	Epididymis-specific alpha-mannosidase	MAN2B2	4	6576902	6625089	Cardiometabolic II
1661	Q5VSG8	Glycoprotein endo-alpha-1,2-mannosidase-like protein	MANEAL	1	38259474	38266809	Oncology II
1662	P55145	Mesencephalic astrocyte-derived neurotrophic factor	MANF	3	51422478	51426828	Inflammation
1663	Q9H8J5	MANSC domain-containing protein 1	MANSC1	12	12482198	12503475	Oncology
1664	A6NHS7	MANSC domain-containing protein 4	MANSC4	12	27915671	27924209	Cardiometabolic II
1665	Q9H492	Microtubule-associated proteins 1A/1B light chain 3A	MAP1LC3A	20	33134658	33148149	Neurology II
1666	A6NCE7	Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B2	12	116997186	117014425	Cardiometabolic II
1667	P11137	Microtubule-associated protein 2	MAP2	2	210288782	210598842	Neurology II
1668	Q02750	Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1	15	66679155	66784650	Oncology II
1669	P52564	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6	17	67410839	67539472	Inflammation
1670	Q99683	Mitogen-activated protein kinase kinase kinase 5	MAP3K5	6	136878185	137113656	Oncology
1671	Q9Y4K4	Mitogen-activated protein kinase kinase kinase kinase 5	MAP4K5	14	50885219	51027844	Neurology
1672	O15264	Mitogen-activated protein kinase 13	MAPK13	6	36095586	36107842	Oncology II
1673	P45984	Mitogen-activated protein kinase 9	MAPK9	5	179660143	179719099	Inflammation
1674	P49137	MAP kinase-activated protein kinase 2	MAPKAPK2	1	206858289	206907628	Oncology II
1675	Q9UPY8	Microtubule-associated protein RP/EB family member 3	MAPRE3	2	27193480	27250064	Oncology II
1676	P10636	Microtubule-associated protein tau	MAPT	17	43971748	44105700	Neurology
1677	Q9UEW3	Macrophage receptor MARCO	MARCO	2	119699742	119752236	Cardiometabolic
1678	P56192	Methionine--tRNA ligase, cytoplasmic	MARS1	12	57869228	57911352	Inflammation II
1679	P48740	Mannan-binding lectin serine protease 1	MASP1	3	186935942	187009810	Neurology
1680	O00339	Matrilin-2	MATN2	8	98881068	99048944	Inflammation
1681	O15232	Matrilin-3	MATN3	2	20191872	20212455	Neurology
1682	Q7Z434	Mitochondrial antiviral-signaling protein	MAVS	20	3827487	3849280	Oncology
1683	P61244	Protein max	MAX	14	65472892	65569413	Neurology
1684	P02144	Myoglobin	MB	22	36002811	36033998	Cardiometabolic
1685	P11226	Mannose-binding protein C	MBL2	10	54525140	54531460	Inflammation II
1686	P43121	Cell surface glycoprotein MUC18	MCAM	11	119179241	119192231	Cardiometabolic
1687	Q96PE7	Methylmalonyl-CoA epimerase, mitochondrial	MCEE	2	71336814	71357369	Neurology II
1688	Q8IX19	Mast cell-expressed membrane protein 1	MCEMP1	19	7741514	7744712	Inflammation II
1689	Q8NI22	Multiple coagulation factor deficiency protein 2	MCFD2	2	47129009	47168994	Cardiometabolic
1690	Q9ULC4	Malignant T-cell-amplified sequence 1	MCTS1	X	119727865	119754929	Oncology II
1691	Q8NFP4	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	MDGA1	6	37600284	37667082	Neurology
1692	P40925	Malate dehydrogenase, cytoplasmic	MDH1	2	63815743	63834331	Inflammation II
1693	P21741	Midkine	MDK	11	46402306	46405375	Oncology
1694	Q8TC05	Nuclear protein MDM1	MDM1	12	68666223	68726161	Neurology II
1695	Q9BV79	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	MECR	1	29519385	29557454	Cardiometabolic II
1696	Q9BUE0	Mediator of RNA polymerase II transcription subunit 18	MED18	1	28655513	28662476	Oncology
1697	Q13503	Mediator of RNA polymerase II transcription subunit 21	MED21	12	27175479	27219276	Cardiometabolic II
1698	Q96KG7	Multiple epidermal growth factor-like domains protein 10	MEGF10	5	126626523	126801429	Inflammation
1699	A6BM72	Multiple epidermal growth factor-like domains protein 11	MEGF11	15	66187417	66546085	Cardiometabolic II
1700	Q9H1U4	Multiple epidermal growth factor-like domains protein 9	MEGF9	9	123363091	123476748	Cardiometabolic
1701	P08582	Melanotransferrin	MELTF	3	196715492	196756687	Cardiometabolic II
1702	Q9BUN1	Protein MENT	MENT	1	151020216	151024462	Inflammation II
1703	Q16819	Meprin A subunit alpha	MEP1A	6	46761127	46807515	Oncology II
1704	Q16820	Meprin A subunit beta	MEP1B	18	29765032	29800367	Cardiometabolic
1705	Q9NQ76	Matrix extracellular phosphoglycoprotein	MEPE	4	88742563	88767969	Inflammation
1706	Q12866	Tyrosine-protein kinase Mer	MERTK	2	112656056	112787138	Inflammation
1707	Q14696	LRP chaperone MESD	MESD	15	81239667	81282219	Neurology
1708	P08581	Hepatocyte growth factor receptor	MET	7	116312444	116438440	Cardiometabolic
1709	P53582	Methionine aminopeptidase 1	METAP1	4	99916771	99983964	Neurology
1710	Q6UB28	Methionine aminopeptidase 1D, mitochondrial	METAP1D	2	172864490	172947158	Inflammation
1711	P50579	Methionine aminopeptidase 2	METAP2	12	95867296	95909615	Oncology
1712	P55082	Microfibril-associated glycoprotein 3	MFAP3	5	153418466	153600038	Cardiometabolic
1713	O75121	Microfibrillar-associated protein 3-like	MFAP3L	4	170907748	170954182	Neurology II
1714	P55083	Microfibril-associated glycoprotein 4	MFAP4	17	19286755	19290553	Inflammation II
1715	Q13361	Microfibrillar-associated protein 5	MFAP5	12	8789942	8815484	Cardiometabolic
1716	Q08431	Lactadherin	MFGE8	15	89441916	89456642	Neurology
1717	Q99685	Monoglyceride lipase	MGLL	3	127407909	127542051	Inflammation
1718	P16455	Methylated-DNA--protein-cysteine methyltransferase	MGMT	10	131265448	131566271	Inflammation
1719	Q16674	Melanoma-derived growth regulatory protein	MIA	19	41277553	41283395	Oncology
1720	Q8IY33	MICAL-like protein 2	MICALL2	7	1468101	1499138	Neurology II
1721	Q29980_Q29983	MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B	MICB_MICA	6	31371356	31478901	Inflammation
1722	P14174	Macrophage migration inhibitory factor	MIF	22	24236191	24237414	Neurology
1723	Q7Z6M3	Allergin-1	MILR1	17	62461569	62464760	Inflammation
1724	Q8N5J2	Ubiquitin carboxyl-terminal hydrolase MINDY-1	MINDY1	1	150969025	150980851	Oncology II
1725	Q8N4C8	Misshapen-like kinase 1	MINK1	17	4736683	4801356	Neurology II
1726	Q8WV92	MIT domain-containing protein 1	MITD1	2	99777890	99797521	Neurology
1727	P46013	Proliferation marker protein Ki-67	MKI67	10	129894923	129924649	Inflammation II
1728	Q03111	Protein ENL	MLLT1	19	6212966	6279959	Oncology II
1729	P12872	Promotilin	MLN	6	33762450	33771788	Inflammation
